Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ɞe̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-	-	-,+	-	-,+	-	-	+	-	-	-	0	0	-	-	0
ʉi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+	-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɐi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0
d̪z	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
bʲː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
b̥ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
d̥z̥ʲ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
d̥ʑ̥	consonant	-	-	-	-	+	-	-,+	-,+	-	-	-	-	-	-	0	0	+	+	-,+	-,+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
d̥ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
fʲː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
kʲː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-,+	-	0	-	-	-	-	-	-	-	-	-	-	-
l̥ʲː	consonant	-	-	-	+	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
mʲː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
m̥ʲ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
m̥ʲː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
m̥ː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
n̥ʲː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
n̥ː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
pʲː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
rʲː	consonant	-	-	-	+	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
r̥ʲ	consonant	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
r̥ʲː	consonant	-	-	-	+	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
r̥ː	consonant	-	-	-	+	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
tsʲː	consonant	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
xʲː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-,+	-	0	-	-	-	-	-	-	-	-	-	-	-
zʲː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ŋʲː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-,+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡʲː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-,+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡ̊ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ʂː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʝː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ʰkʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	0,-,+	-	0	-	-	-	-	+,-	-	-	-	-	-	-
ʰpʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	0,-,+	+	-	+	-	0	-	-	-	-	+,-	-	-	-	-	-	-
ʰtsʲ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	0,-,+	+	-	+	-	0	-	-	-	-	+,-	-	-	-	-	-	-
ʰtɕ	consonant	-	-	-	-	+	-	0,-,+	0,-,+	-	-	-	-	-	-	0	0	+	+	0,-,+	0,-,+	0,-,+	+	-	+	-	0	-	-	-	-	+,-,-	-	-	-	-	-	-
ʰtʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	0,-,+	+	-	+	-	0	-	-	-	-	+,-	-	-	-	-	-	-
βʲː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
o̞ä	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-	-,+	-	+,-	0	-	-	+	-	-	-	0	0	-	-	0
uä	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+,-	-,+	-	+,-	+	-	-	+	-	-	-	0	0	-	-	0
ue̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+,-	-	-,+	+,-	+	-	-	+	-	-	-	0	0	-	-	0
d̠ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
pˠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
t̠ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
t̪ˠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ɯ̝	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ɟ̟	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɨ̹	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
v̥	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ɣ̊	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ʒ̊	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
äu̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0
xk	consonant	-	-	-	-	+	-	+,-	+,-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ʢ	consonant	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	0	0	+	+	+	-	-	-	-	-	-
iẽː	vowel	-	+	-	-,+	-	+	+	0	+	-	-	-,+	-	-	0	0	-	0	0	0	+	+,-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
i̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
u̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
u̯oː	vowel	-	-,+	-	-,+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+,-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
u̯õ	vowel	-	-,+	-	-	-	+	+	0	+	-	-	-,+	-	+	+	-	-	0	0	0	+	+,-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
u̯õː	vowel	-	-,+	-	-,+	-	+	+	0	+	-	-	-,+	-	+	+	-	-	0	0	0	+	+,-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
äi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0
e̞u̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	-	+,-	-,+	+	-	-	+	-	-	-	0	0	-	-	0
i̯ẽ	vowel	-	-,+	-	-	-	+	+	0	+	-	-	-,+	-	-	0	0	-	0	0	0	+	+,-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
