Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ʃ͉	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	+	-	-	-
b̩	consonant	-	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̩	consonant	-	+	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
kp	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
v̩	consonant	-	+	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
z̩	consonant	-	+	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ŋ̩ʷ	consonant	-	+	-	-	+	+	-	0	-	-	-	+	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡb	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡb̩	consonant	-	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡ̩	consonant	-	+	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡ̩ʷ	consonant	-	+	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɣ̩	consonant	-	+	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɟː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ŋm	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-,+	-	-	-	0	0	0	+,-	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
iɛ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-	-	+	-	+,-	-	-	+	-	-	-	0	0	-	-	0
uɔ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+,-	-	-	+	+,-	-	-	+	-	-	-	0	0	-	-	0
cçʷʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	-	+	+	-	+	-	0	-	-	-	-	+	-	-	-	-	-	-
çʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	+	-	+	-	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ɟʝ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɟʝʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
œː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
d̠ʒʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
t̠ʃʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
bʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
b̤ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	+	-	-	-	-	-	-
hʲ	consonant	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	+	-	-	-	-	-	-
pʲʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	+	-	-	-	-	-	-
ɓ̥	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	+	-
ɗ̥	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	+	-
ɡ̤ʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	+	-	-	-	-	-	-
ɾʲ	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
pf	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
pfʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
ɠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	+	-
kǀ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	+
kǁ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	+	-	0	0	+	+	-	-	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	+
kǃ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	+
kʟ͓̥ʼ	consonant	-	-	-	-	+	-,+	-,+	-,+	-,+	-	-	-	-,+	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-,+	-	-	-,+	-	-
ŋmɡb	consonant	-	-	-	-	+	+,-	-	-	-	-	-	+,-	-	+	-	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ˀd̪	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	+,-	-	-	-	-	-
o̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ˀo̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	+,-	0	0	-	-	0
d̪ð	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
kxʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	+	-	-	-	-	-	-
kǂ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	+
bʷˠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-,+	-	-	0	0	0	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
l̥ʲ	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
l̥ˠ	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
l̪ˠ	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	+	-	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
mʷˠ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-,+	-	-	0	0	0	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
nˠ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
n̥ʲ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
n̥ˠ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
pʷˠʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-,+	-	-	0	0	0	-,+	+	-	-	-	0	-	-	-	-	+	-	-	-	-	-	-
ɡ̟	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɸʷˠ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-,+	-	-	0	0	0	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ɸ̃	consonant	-	-	-	-	+	-	+	+	-	-	-	+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ɾˠ	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɾ̥ʲ	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ɾ̥ˠ	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
βʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ẽː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
e̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɑ̃ː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ə̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
ɤ̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ɯ̞̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	0	-	-	+	-	-	-	0	0	-	-	0
yː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ø̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	0	-	-	+	-	-	-	0	0	-	-	0
ŋˑ	consonant	-	-	+	+	+	+	-	0	-	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
l̪̩	consonant	-	+	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɭ̩	consonant	-	+	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɹ̩	consonant	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	-	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ø̞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	0	-	-	+	-	-	-	0	0	-	-	0
ʉː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
ʏ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
œ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
ɒ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ɱ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɐ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
ð͉	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	+	-	-	-
ɔ̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
ɛ̯	vowel	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
d̻ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
fʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
n̻ʲ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
rʲ	consonant	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
t̠ʃʲ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
t̻ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
vʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
zʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ʃˠ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-,+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ʒˠ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
tsʲ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
tʲʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	+	-	-	-	-	-	-
ɤ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
d̠ʒʲ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ʒʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ʁ̞	consonant	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	-	-	-	-	-
ie̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɨ̃ː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
ɨ̆	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
d̻ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
l̻ː	consonant	-	-	-	+	+	+	+	0	+	-	-	-	+	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
n̻ː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
pʰː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̻ʰː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̻ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʈʰː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
b̤ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
d̠ʒ̤ː	consonant	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
d̪̤ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
m̤	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
n̪ː	consonant	-	-	-	+	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
n̪̤	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
t̪ʰː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
ɖ̤ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
ɡ̤ː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	+	-	-	-	-	-	-
ɽ̃	consonant	-	-	-	-	+	+	+	0	+	+	-	+	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ʋː	consonant	-	-	-	+	-	+	+	0	+	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
æe̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
æẽ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-,+	-	-	0	0	-	0	0	0	+	-	+,-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɔo̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-,+	-	-	+	-	-	-	0	0	-	-	0
ɔõ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-,+	-	+	+	-	-	0	0	0	+	-	-	-	+	-,+	-	-	+	-	-	-	0	0	-	-	0
ɔ̤	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	+	-	0	0	-	-	0
ɜ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
n̤	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
ɽ̤	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
ɾ̤	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
cçː	consonant	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ɟʝː	consonant	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ə̥	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	-	-	-	-	0	0	-	-	0
vː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ĕ̞	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	0	-	-	+	-	-	-	0	0	-	-	0
ŏ̞	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ɒ̆	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ɵ̞̆	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	0	-	-	+	-	-	-	0	0	-	-	0
p͉ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	-	-	-	-	-	+	-	-	-
t͉ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	+	-	-	-
z͇	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɔ̆	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
ioː	vowel	-	+	-	-,+	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	+,-	-	+,-	-,+	+	-	-	+	-	-	-	0	0	-	-	0
iæ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-	-,+	+	-	+	-	-	+	-	-	-	0	0	-	-	0
i̙ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	+	-	+	-	-	-	0	0	-	-	0
ɪ̙	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	+	-	+	-	-	-	0	0	-	-	0
ʊ̙	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	+	-	+	-	-	-	0	0	-	-	0
ʊ̙ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	+	-	+	-	-	-	0	0	-	-	0
çː	consonant	-	-	-	+	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
pfʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
R̪|R	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-
n̪|n	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	0	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̪z̪|dz	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	0	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̪|d	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
r̪|r	consonant	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
s̪|s	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	0	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
t̪s̪ʰ|tsʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	0	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̪ʰ|tʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
bⁿ	consonant	-	-	-	-	+	-	-	-	-	-	-	-,+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̠ⁿ	consonant	-	-	-	-	+	-	-	-	-	-	-	-,+	-	-	0	0	+	-	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̪ⁿ	consonant	-	-	-	-	+	-	-	-	-	-	-	-,+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
